...Mass Properties...
14 Num Comps
13 Total Num Meshes
40512 Total Num Tris

7.881915284987734e+04             Total Mass
3.599556759590418e+01 -5.540130923158147e-04 -4.804688696740172e-01       Center of Gravity
3.205977023551632e+07 2.272825535662856e+07 5.463132014579119e+07       Ixx, Iyy, Izz
-1.773387639035461e+03 -3.743597654113245e+05 6.441178485006103e+02       Ixy, Ixz, Iyz
1.360383056997547e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
4.848441286384701e+01	4.724395132143406e+04	3.751143142770330e+01	6.771251839216083e-06	-5.635809966075976e-01	1.010865515112533e+07	3.703202336338661e+06	1.367048277639724e+07	-7.192978596522535e+02	-1.666342159915264e+05	4.691025492610713e+02	9.448790264286858e+02
4.905365157506870e+01	5.002014711148983e+04	3.815204255804628e+01	6.391929787289338e-06	-5.736884204329326e-01	1.218719787397104e+07	4.053472149481910e+06	1.609778112030990e+07	-7.635751302357669e+02	-1.721473130380453e+05	4.968399965073899e+02	1.000402942229800e+03
4.962289028629039e+01	5.279594085616621e+04	3.875513262243098e+01	6.055868361593038e-06	-5.798735177784203e-01	1.450414907036167e+07	4.400380530090529e+06	1.876027288916985e+07	-8.074256007220848e+02	-1.756976611047780e+05	5.249168832208184e+02	1.055918817123326e+03
5.019212899751207e+01	5.553094704214071e+04	3.931842674041305e+01	5.757605173780310e-06	-5.825007841657522e-01	1.704920653639884e+07	4.741321729560791e+06	2.164502279579570e+07	-8.498174078783418e+02	-1.772855145901462e+05	5.527417790623273e+02	1.110618940842815e+03
5.076136770873375e+01	5.818205076625608e+04	3.983983193353387e+01	5.495256076646549e-06	-5.820299683664305e-01	1.979384490469032e+07	5.073401967722270e+06	2.472057952831883e+07	-8.904846969865217e+02	-1.769877698877785e+05	5.795936943538313e+02	1.163641015325121e+03
5.133060641995544e+01	6.060884912796468e+04	4.029992634383262e+01	5.275224209761256e-06	-5.800435960708180e-01	2.243129952157234e+07	5.381663114146718e+06	2.766529916548161e+07	-9.277694620885195e+02	-1.756610727438485e+05	6.043846054663350e+02	1.212176982559293e+03
5.189984513117712e+01	6.260694010579641e+04	4.067013598885617e+01	5.106866230511704e-06	-5.757554945065450e-01	2.486800099562816e+07	5.642458567580746e+06	3.036203245920809e+07	-9.566753330684570e+02	-1.726473121685626e+05	6.249086350437053e+02	1.252138802115928e+03
5.246908384239881e+01	6.420158875193620e+04	4.096320001711918e+01	4.980021124939723e-06	-5.704990256810267e-01	2.702896473112693e+07	5.859364088141362e+06	3.273927643693856e+07	-9.801574445010851e+02	-1.687651885018809e+05	6.406350527864071e+02	1.284031775038725e+03
5.303832255362050e+01	6.542540726050848e+04	4.118907187748999e+01	-6.674273928178217e-04	-5.652799615342669e-01	2.884307123921966e+07	6.034818723325887e+06	3.472830427071806e+07	-1.518401785961207e+03	-1.647197440638182e+05	6.190643267303112e+02	1.308508145210170e+03
5.360756126484218e+01	6.631710305315560e+04	4.135605014143584e+01	-6.584552188384769e-04	-5.607886113098658e-01	3.026021283000943e+07	6.170773300572528e+06	3.628094625331570e+07	-1.522906111341073e+03	-1.610710005257942e+05	6.278361223958508e+02	1.326342061063112e+03
5.417679997606387e+01	6.692092499767449e+04	4.147173070167323e+01	-6.525140321224429e-04	-5.574996445286922e-01	3.125072020737110e+07	6.269351458626053e+06	3.736966831630713e+07	-1.525241697649593e+03	-1.582748710773199e+05	6.338295081796645e+02	1.338418499953489e+03
5.474603868728556e+01	6.728961642615523e+04	4.154446292743469e+01	-6.489387950591873e-04	-5.556268525941978e-01	3.182513736535133e+07	6.334112877005243e+06	3.800859412053827e+07	-1.525930814863771e+03	-1.566113706391025e+05	6.375278808082264e+02	1.345792328523104e+03
5.531527739850724e+01	6.748093836286255e+04	4.158350593659492e+01	-6.470989239772620e-04	-5.551291841005670e-01	3.203451016267965e+07	6.370367633685412e+06	3.825409505989815e+07	-1.525836986913254e+03	-1.561502910189929e+05	6.392409902278000e+02	1.349618767257251e+03
5.588451610972893e+01	6.758009896279300e+04	4.160448987669185e+01	-6.461494326550976e-04	-5.554310679381846e-01	3.203865215535169e+07	6.390642778728475e+06	3.827847621309521e+07	-1.525783420484805e+03	-1.564416824423764e+05	6.398543623274193e+02	1.351601979255860e+03
5.645375482095061e+01	6.766753815297506e+04	4.162367792072250e+01	-6.453144860223357e-04	-5.556965331276188e-01	3.204229784806017e+07	6.409918583448339e+06	3.830136887868916e+07	-1.525672247829930e+03	-1.567081293707821e+05	6.402621323764157e+02	1.353350763059501e+03
5.702299353217230e+01	6.774399295055638e+04	4.164105734444238e+01	-6.445861943132658e-04	-5.559280881623069e-01	3.204548104770940e+07	6.428045118445888e+06	3.832265575885077e+07	-1.525485105756056e+03	-1.569494689095650e+05	6.404925651966003e+02	1.354879859011128e+03
5.759223224339399e+01	6.780928188284897e+04	4.165641564273205e+01	-6.439655662336176e-04	-5.561254123316219e-01	3.204819391119172e+07	6.444654368830499e+06	3.834196042683923e+07	-1.525316798529173e+03	-1.571627225270811e+05	6.406430432159286e+02	1.356185637656979e+03
5.816147095461567e+01	6.786412358948356e+04	4.166975355020843e+01	-6.434451709378621e-04	-5.562908682186771e-01	3.205046996273826e+07	6.459592319614837e+06	3.835916139598763e+07	-1.525082419379255e+03	-1.573479218524391e+05	6.407320516290820e+02	1.357282471789671e+03
5.873070966583735e+01	6.790942834342751e+04	4.168113551053003e+01	-6.430159061677609e-04	-5.564273498200659e-01	3.205234733590546e+07	6.472778492715063e+06	3.837421539099024e+07	-1.524842064463832e+03	-1.575059588140062e+05	6.407615383400151e+02	1.358188566868550e+03
5.929994837705904e+01	6.794575459383195e+04	4.169055516319037e+01	-6.426721266783571e-04	-5.565366520002264e-01	3.205385091520049e+07	6.484054776781858e+06	3.838698850891066e+07	-1.524567850874397e+03	-1.576367513576106e+05	6.407732629072075e+02	1.358915091876639e+03
5.986918708828073e+01	6.797347185591867e+04	4.169796778890579e+01	-6.424100669176219e-04	-5.566199719889507e-01	3.205499657689631e+07	6.493214667931431e+06	3.839728959202596e+07	-1.524335297712660e+03	-1.577396725763403e+05	6.407856693454256e+02	1.359469437118373e+03
6.043842579950241e+01	6.799374266038540e+04	4.170355483478804e+01	-6.422185468108535e-04	-5.566808644094110e-01	3.205583354546506e+07	6.500334539155805e+06	3.840524358764163e+07	-1.524150750946501e+03	-1.578172451032037e+05	6.407875188580858e+02	1.359874853207708e+03
6.100766451072410e+01	6.800742377639722e+04	4.170743826029243e+01	-6.420893511149136e-04	-5.567219412382178e-01	3.205639787817291e+07	6.505433520922757e+06	3.841090523331560e+07	-1.523957734303048e+03	-1.578711643035861e+05	6.407895486612280e+02	1.360148475527944e+03
