...Mass Properties...
12 Num Comps
10 Total Num Meshes
48320 Total Num Tris

8.440807431615370e+04             Total Mass
4.258583573887024e+01 -5.590264695196078e-08 -5.203008942630564e-01       Center of Gravity
3.308628566809737e+07 1.156985074713827e+07 4.453056515405548e+07       Ixx, Iyy, Izz
-7.028785261588204e+02 -2.185114630034329e+05 4.910053461337135e+02       Ixy, Ixz, Iyz
1.217793114987516e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
6.245485726204124e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
6.291962465165462e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
6.338439204126799e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
6.384915943088136e+01	5.351145878130217e+04	4.541160215727680e+01	-8.705284804574094e-08	-7.063404915336093e-01	3.156264947161416e+07	1.623118601212699e+06	3.310045941431475e+07	-6.206714556974133e+02	9.555600127504027e+03	4.316692626825213e+02	1.070229175626068e+03
6.431392682049473e+01	5.394487304453763e+04	4.556347084571699e+01	-8.635343134049696e-08	-7.043211066911973e-01	3.156425477506103e+07	1.777166156897016e+06	3.325528378401782e+07	-6.247221610435017e+02	1.159806550638963e+04	4.348950764401055e+02	1.078897460890778e+03
6.477869421010811e+01	5.478106858468436e+04	4.585677808661883e+01	-8.503530523879635e-08	-7.017675861398472e-01	3.157086277846343e+07	2.082394152094084e+06	3.356480179379126e+07	-6.341005151195135e+02	1.424465679847798e+04	4.417261671356056e+02	1.095621371693713e+03
6.524346159972148e+01	5.589163301552731e+04	4.624199068428406e+01	-8.334565721060622e-08	-6.997994590062907e-01	3.158403168234894e+07	2.493266044106252e+06	3.398540822197735e+07	-6.471733585413883e+02	1.633444621627550e+04	4.507342427577401e+02	1.117832660310573e+03
6.570822898933486e+01	5.702563029167029e+04	4.662909138096685e+01	-8.168826650463995e-08	-6.979542876269459e-01	3.159782079164823e+07	2.916257760954677e+06	3.441863867625314e+07	-6.606059135335183e+02	1.834156625868340e+04	4.599387740340027e+02	1.140512605833434e+03
6.617299637894823e+01	5.813775712282969e+04	4.700294999212666e+01	-8.055529720372920e-08	-6.964726947806626e-01	3.161101983135497e+07	3.334695932575978e+06	3.484683310173364e+07	-6.737801716949540e+02	1.999240015770026e+04	4.689960533845145e+02	1.162755142456623e+03
6.663776376856160e+01	5.912184425209136e+04	4.732977280638889e+01	-7.937658110263881e-08	-6.959473775697015e-01	3.162070961296409e+07	3.709275754968663e+06	3.522818382736686e+07	-6.849671822118012e+02	2.059171721463886e+04	4.768506074289199e+02	1.182436885041857e+03
6.710253115817497e+01	5.991130264448212e+04	4.759032080538939e+01	-7.833062634952049e-08	-6.965241486820434e-01	3.162647145481059e+07	4.014949267705129e+06	3.553750544303995e+07	-6.932472991444781e+02	1.991721005570882e+04	4.834413131952504e+02	1.198226052889672e+03
6.756729854778835e+01	6.047366057037943e+04	4.777609113354471e+01	-7.760221260242224e-08	-6.979161442672479e-01	3.162921552638231e+07	4.237937698084616e+06	3.576198892899832e+07	-6.990564494736772e+02	1.825102301020692e+04	4.880325018708667e+02	1.209473211407619e+03
6.803206593740173e+01	6.079650651663207e+04	4.788365585605113e+01	-7.719012381436755e-08	-6.994302447804993e-01	3.163010460020302e+07	4.369976863241005e+06	3.589439134215553e+07	-7.021104752099735e+02	1.639621888709650e+04	4.904923284596458e+02	1.215930130332672e+03
6.849683332701510e+01	6.088965574937403e+04	4.791518997530609e+01	-7.707203806293633e-08	-7.001248484516076e-01	3.163020330909581e+07	4.409544103645543e+06	3.593396888978205e+07	-7.028534931724197e+02	1.552570644310500e+04	4.910045068913846e+02	1.217793114987511e+03
